,Category,Name,Location,Elevator Region,Cluster,Spelling
69,Children's Fashion & Maternity,Kids 21,B1-52,,B1_C_1,Kids 21
70,Electronics & Telecommunications,VERTU,B1-91,,B1_B_7,VERTU
71,Food Court,1983 - A Taste of Nanyang,B1-01,,B1_A_1,"1983 - A Taste of Nanyang, 1983"
72,General,MasterCard Theatres Box Office,B1-69,,B1_B_9,"MasterCard Theatres Box Office, Mastercard Theatres"
73,General,Dental on the Bay,B1-60,,B1_C_2,Dental on the Bay
74,General,Fidgets City,B1-57,,B1_C_1,Fidgets City
75,"Handbags, Shoes & Accessories",KWANPEN Men's Boutique,B1-85,,B1_B_7,"KWANPEN Men's Boutique, KWANPEN Men"
76,"Handbags, Shoes & Accessories",Spectacle Hut Boutique B1,B1-81A,,B1_B_8,"Spectacle Hut Boutique B1, Spectacle Hut B1"
77,"Handbags, Shoes & Accessories",Crocs,B1-61,,B1_C_3,Crocs
78,"Handbags, Shoes & Accessories",Birkenstock,B1-56A,,B1_C_1,Birkenstock
79,"Handbags, Shoes & Accessories",KWANPEN Boutique,B1-147,,B1_A_5,"KWANPEN Boutique, KWANPEN"
80,"Handbags, Shoes & Accessories",TUMI,B1-127,,B1_A_6,TUMI
81,"Handbags, Shoes & Accessories",Jimmy Choo,B1-118,,B1_B_3,"Jimmy Choo, JimmyChoo"
82,Jewellery,Chaumet,B1-93,,B1_B_7,Chaumet
83,Jewellery,Cartier B1,B1-39A,,B1_B_6,Cartier B1
84,Jewellery,BVLGARI B1,B1-36,,,BVLGARI B1
85,Jewellery,Tiffany & Co.,B1-132,,B1_A_6,"Tiffany & Co., Tiffany, Tiffany and Co"
86,Lifestyle & Gifts,Davidoff of Geneva,B1-90,,B1_B_7,"Davidoff of Geneva, Davidoff, Geneva"
87,Lifestyle & Gifts,Aimer Men,B1-83,,B1_B_8,Aimer Men
88,Lifestyle & Gifts,Theatre Boutique,B1-70,,B1_B_9,Theatre Boutique
89,Lifestyle & Gifts,The Oaks Cellars,B1-51,,B1_C_1,The Oaks Cellars
90,Lingerie,Aimer,B1-148,,B1_A_5,Aimer
91,Men's Fashion,VERSACE,B1-90A,,B1_B_7,VERSACE
92,Men's Fashion,La Martina,B1-82,,B1_B_8,"La Martina, Martina"
93,Men's Fashion,Brioni,B1-76,,B1_B_8,Brioni
94,Men's Fashion,Stefano Ricci,B1-75,,B1_B_8,"Stefano Ricci, Stefano"
95,Men's Fashion,Uomo Collezioni,B1-73,,B1_B_8,"Uomo Collezioni, Uomo"
96,Men's Fashion,Ralph Lauren B1,B1-72,,,Ralph Lauren B1
97,Men's Fashion,Tonino Larborghini,B1-68,,B1_C_4,Tonino Larborghini
98,Men's Fashion,Hermes,B1-41,,B1_B_6,Hermes
99,Men's Fashion,Armani/ Marina Bay,B1-29,,B1_B_1,"Armani/ Marina Bay, Armani"
100,Men's Fashion,Dior B1,B1-28,,B1_B_1,Dior B1
101,Men's Fashion,FENDI,B1-22,,B1_B_1,FENDI
102,Men's Fashion,Brooks Brothers,B1-17,,B1_A_4,Brooks Brothers
103,Men's Fashion,Tommy Hilfiger,B1-16,,B1_A_4,"Tommy Hilfiger, Tommy"
104,Men's Fashion,a.testoni,B1-141,,B1_A_5,"a.testoni, testoni"
105,Men's Fashion,Tom Ford,B1-128,,B1_A_6,Tom Ford
106,Men's Fashion,Shanghai Tang,B1-12,,B1_A_4,Shanghai Tang
107,Men's Fashion,Gucci,B1-109,,B1_B_3,Gucci
108,Men's Fashion,Alfred Dunhill,B1-108,,,Alfred Dunhill
109,Men's Fashion,Burberry B1,B1-103,,B1_B_2,Burberry B1
110,Men's Fashion,Maison Martin Margiela,B1-10,,B1_A_4,"Maison Martin Margiela, Maison, Martin Margiela"
111,Restaurants,Caffe B B1,B1-15,,B1_A_4,"Caffe B B1, Cafe B B1"
112,Restaurants,Yu Cuisine B1,B1-08,,B1_A_4,"Yu Cuisine B1, Yu B1"
113,Restaurants,Punjab Grill,B1-01A,,B1_A_1,Punjab Grill
114,"Sports, Beauty & Wellness",Jo Malone London,B1-80,,B1_B_8,"Jo Malone London, Jo Malone"
115,"Sports, Beauty & Wellness",Columbia,B1-67,,B1_C_4,Columbia
116,"Sports, Beauty & Wellness",Mizuno ,B1-66,,B1_C_4,Mizuno
117,"Sports, Beauty & Wellness",World of Sports,B1-65,,B1_C_4,World of Sports
118,"Sports, Beauty & Wellness",Munsingwear,B1-56C,,B1_C_1,Munsingwear
119,"Sports, Beauty & Wellness",Sun Paradise,B1-55A,,B1_C_1,Sun Paradise
120,"Sports, Beauty & Wellness",adidas,B1-55,,B1_C_1,adidas
121,"Sports, Beauty & Wellness",Action Hair Boutique,B1-150,,,"Action Hair Boutique, Action Hair"
122,"Sports, Beauty & Wellness",IsisDoc Face Body Spa,B1-01F,,B1_A_3,"IsisDoc Face Body Spa, IsisDoc"
123,Watches,Tudor,B1-88,,B1_B_7,Tudor
124,Watches,RADO,B1-86,,B1_B_7,RADO
125,Watches,LONGINES,B1-18,,B1_A_4,LONGINES
126,Watches,JWC Schaffhausen Boutique,B1-126,,B1_A_6,"JWC Schaffhausen Boutique, JWC"
127,Watches,OMEGA,B1-122,,,OMEGA
128,Watches,Breguet,B1-119,,B1_B_3,Breguet
129,Watches,Chopard,B1-107,,B1_B_2,Chopard
130,Watches,TISSOT,B1-06,,,TISSOT
131,Women's Fashion,Bottega Veneta B1,B1-99,,B1_B_2,Bottega Veneta B1
132,Women's Fashion,Prada B1,B1-98,,,Prada B1
133,Women's Fashion,BritishIndia,B1-81,,B1_B_8,"BritishIndia, British India"
